LPS,MechanicalStiffness,MechanicalStretch,BioelectricDepolarization,Caerulein,TGFbeta,Factin,Piezo1,CaMKII,PKD,ARID1A,mTORC1,Autophagy,SLC5A8,Butyrate,NFkB,PU1,YAP_TAZ,TEAD,Smad3,MyoD,Oct4,AP1,MEF2,Sox9,HDAC4,HDAC5,HDAC1_3,SWI_SNF,LatentEnhancer,H3K4me1,H3K27ac,inhba_RRE,Paligenosis,Metaplasia,Blastema,InnateMemory,Fibrosis,Hypertrophy,Regeneration,Pluripotency,MyogenicDiff,ADM,label,dataset,pathway,assay
0.0,0.0,0.0,0.0,1.0,0.0,0.6299223777743742,0.0,0.4666921678949788,0.0,0.5669084753812829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2279001768470818,0.0,0.7383135753177225,0.0,0.0,0.6764100778480231,0.5791226379353128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.4940704983659149,0.06877508188326,0.4062337682334991,0.0,0.1197858163707951,0.0821599590315113,0.0,0.0,0.0,0.1215895261275143,0.0,0.2018792099732403,0.2529914328138382,0.1464860830673436,0.0,0.0,0.3326275387327733,0.0,0.4616498154517205,0.142040852815411,0.0,0.1993245213360537,0.2131455279218918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.5303741632682224,0.0,0.2480638846828299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249425738646464,0.0,0.0,0.0,0.0,0.3605730468507768,0.0,0.6407795466258571,0.0,0.0,0.0,0.2108486732807772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.4397751094532678,0.0,0.0,0.0,0.1574991335700421,0.0,0.0,0.0,0.0,0.0,0.0,0.19032952134008,0.1621170020772739,0.0,0.0,0.0,0.092436305342074,0.0,0.6684374229193258,0.0,0.0,0.0,0.1608924855890775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.4199474116808596,0.0,0.3585878613963999,0.0,0.180325196697301,0.0,0.0,0.0,0.0,0.1830404957746007,0.0,0.2179136328879545,0.0,0.0,0.0,0.0,0.2678221141767688,0.0,0.7699074415414328,0.0,0.0,0.3559938078901645,0.1842103410560388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.287126955016442,0.0,0.3257420625753673,0.3845672359498309,0.4212911305695554,0.5321901158101883,0.0,0.0,0.0,0.0,0.0,0.0,0.278980582759618,0.3314473503211427,0.0,0.0,0.1590698939780903,0.0,0.6012702891566325,0.0,0.0,0.0,0.4303679367469314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.3147226594866659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336471502686028,0.0,0.3043435184833993,0.1526478105998426,0.0,0.0,0.0,0.0870371364484055,0.0,0.3871610283403982,0.0,0.0,0.3004921911051418,0.151494817646781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.4994585781680534,0.0,0.1864483665606071,0.0,0.0,0.0,0.0,0.0,0.0,0.1574704584683299,0.0,0.0,0.0,0.0,0.0,0.0,0.3254885869600316,0.0,0.3986684066879642,0.0,0.0,0.1850995840415196,0.1584768809653052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.5547099880406658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8193449057463051,0.0,0.0,0.0,0.0,0.5210681461054163,0.0,0.0,0.0,0.6844368446906799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.5489304193699928,0.0,0.2049352321753038,0.0,0.2843203123632737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2908932390763388,0.0,0.3409679607834228,0.0,0.1833287666496832,0.2034527141795598,0.2904460534015992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.3182249390097852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598008023513784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3123271206007642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.3415568346446309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.5554747294219448,0.0,0.0,0.0,0.4016531232868398,0.0,0.117936578865994,0.0,0.0,0.0,0.0,0.0,0.0969402212769163,0.2056520913331508,0.0,0.0,0.3939668193996195,0.0,0.6223305875885983,0.0,0.1012553222486622,0.0,0.33302839709788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.5949962145397117,0.0,0.1368023073813684,0.0,0.325175969855257,0.1437896580423415,0.0,0.0,0.0,0.0,0.0,0.2409423282464376,0.1171638293635604,0.0,0.0,0.3196778420776197,0.632504088493295,0.0,0.5022941033595384,0.0,0.2880849045645429,0.0,0.1162788571580695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.2631247150919814,0.0,0.0933481931683572,0.0,0.1946831133136051,0.0981160700537759,0.0,0.0,0.0,0.0,0.0,0.0938606684407127,0.2003912146693559,0.0,0.0,0.0,0.0,0.0,0.4951899259294877,0.0921008271292689,0.0,0.1683408085430947,0.1441285047464131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.2542000202785365,0.0,0.2228548929688401,0.0,0.1854265482757385,0.1325911965565718,0.0,0.0,0.0,0.0,0.0,0.0,0.1908632475024451,0.1283574767103602,0.0,0.0,0.0616019714498521,0.0,0.4077231237111358,0.0,0.1128481516414642,0.0,0.1894216023291274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.6352538305447207,0.3410865843805192,0.0,0.0,0.4867421121166416,0.0,0.0,0.0,0.0,0.0,0.0,0.238672159567743,0.2032938175644075,0.2415264765091242,0.0,0.0,0.4569551027129385,0.0,0.6643701613719319,0.2341971741102917,0.3467955341179352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.7176429879688137,0.0,0.0,0.0,0.1612937888928231,0.0,0.0,0.0,0.0,0.1637225170138856,0.0,0.1949151651773796,0.0,0.0,0.0,0.2586098501064384,0.5375410912743469,0.0,0.5643906386381596,0.0,0.0,0.0,0.276793716025783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.3225875019771185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4683430910167662,0.0,0.459406610688079,0.0,0.0,0.4872174697290896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.5138263458317502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7021877759933345,0.0,0.3823993385363658,0.0,0.3510787424431592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.5054188677003815,0.0,0.0669720953155634,0.0,0.3499506309088604,0.0,0.0,0.0,0.0,0.10528346001597,0.0,0.0,0.0573580029304494,0.0,0.0,0.0,0.3132670859946266,0.0,0.3465748972359506,0.0,0.0599111802486193,0.1237560672964407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.5461463478452838,0.1515118129835934,0.38766114635045,0.0,0.1432818250267018,0.1809987572047072,0.0,0.0,0.0,0.0,0.0,0.0,0.3320109526754389,0.1752193536664771,0.0,0.0,0.0,0.0,0.5826488624679169,0.0,0.1540477477419747,0.1709575260015914,0.1463688621374756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
